bayes,
mode,"sentential"
types,"real,event,formula,proof"
tokens,"\forall,\Omega:event,\emptyset:event,\bar:event -> event, 0:real,1:real,+:real*real->real,-:real*real->real,*:real*real->real,\div:real*real->real,\cup:event*event->event,\cap:event*event->event,\setminus:event*event->event,\Pr:event*event->real,\Pr:event->real, |:event*event->event,=:event*event->formula,=:real*real->formula"
grammar_imports,"base_10_real_numerals, latin_alphabet"
patterns,"\Pr(_:event),\Pr(_:event|_:event),\Pr(_:event|_:event)=_:real,\Pr(_:event)=_:real"
grammatical_complexity,type-2
rigorous,TRUE
facts,"$Bayes'_theorem, $law_of_total_probability, $non_negative_probability, $unit_measure, $sigma_additivity, $+inverse, $add-def, $mult-def, $*inverse"
fact_imports,"real-number-arithmetic,finite-set-algebra"
tactics,"rewrite:fact * term * state -> state, lemma: formula * state -> state, calc : state * term -> state"
inferential_complexity,2
accessible_facts,TRUE
accessible_tactics,TRUE
accessible_grammatical_constructors,FALSE
physical_dimension_use,"X:{grammatical;inferential}, Y:{inferential}, colour:{}"
grammatical_dimensionality,1
grammatical_granularity,discrete
mean_branching_factor,\infty
pr_distinct_state_change,0.004
pr_valid_state_change,1
mean_solution_depth,10
